127.0.0.1 - - [24/Dec/2025:21:42:57 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:43:02 +0530] "GET /MvcUpload/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:43:05 +0530] "GET /MvcUpload/file HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:43:16 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:44:05 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 500 4922
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:44:22 +0530] "GET /MvcUpload/file HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:44:30 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:51:15 +0530] "GET /MvcUpload/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:51:17 +0530] "GET /MvcUpload/file HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:53:25 +0530] "GET /MvcUpload/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:53:26 +0530] "GET /MvcUpload/file HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [24/Dec/2025:21:53:45 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [24/Dec/2025:22:13:29 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 500 3117
0:0:0:0:0:0:0:1 - - [24/Dec/2025:22:13:30 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [24/Dec/2025:22:14:24 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 3363
0:0:0:0:0:0:0:1 - - [24/Dec/2025:22:14:29 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [24/Dec/2025:22:15:28 +0530] "POST /MvcUpload/uploadSuccess HTTP/1.1" 200 4013
0:0:0:0:0:0:0:1 - - [24/Dec/2025:22:15:32 +0530] "GET /MvcUpload/download?fileId=1 HTTP/1.1" 404 683
